TIME DATA - SEED 4
CPU TIME,OBJ_VALUE
26607.2,4.06136e+08
26607.3,4.07511e+08
26607.3,4.06247e+08
26607.4,4.07502e+08
26607.5,4.07132e+08
26607.5,4.07435e+08
26607.5,4.07501e+08
26607.6,4.07511e+08
26607.7,4.07211e+08
26607.8,4.07349e+08
26607.9,4.07511e+08
26608,4.07068e+08
26608.2,4.06167e+08
26608.2,4.07504e+08
26608.3,4.07508e+08
26608.4,4.06357e+08
26608.4,4.07371e+08
26608.5,4.06704e+08
26608.5,4.07504e+08
26608.6,4.07506e+08
26608.6,4.07502e+08
26608.6,4.06307e+08
26608.7,4.07501e+08
26608.8,4.07511e+08
26608.8,4.06303e+08
26608.9,4.07371e+08
26609,4.06245e+08
26609,4.07456e+08
26609,4.06354e+08
26609.1,4.07503e+08
26609.4,4.06132e+08
26609.5,4.07503e+08
26609.5,4.07511e+08
26609.6,4.07406e+08
26609.6,4.07504e+08
26609.7,4.07464e+08
26609.7,4.07248e+08
26609.8,4.07498e+08
26609.9,4.07155e+08
26609.9,4.06495e+08
26609.9,4.0751e+08
26610,4.06961e+08
26610,4.07505e+08
26610.1,4.07107e+08
26610.2,4.06582e+08
26610.5,4.06625e+08
26610.6,4.07507e+08
26610.7,4.06992e+08
26610.8,4.07496e+08
26610.9,4.07511e+08
26611,4.07503e+08
26611.2,4.07468e+08
26611.3,4.06664e+08
26611.4,4.06526e+08
26611.4,4.07511e+08
26611.4,4.07505e+08
26611.4,4.07498e+08
26611.5,4.07511e+08
26611.5,4.07501e+08
26611.6,4.07496e+08
26611.6,4.05891e+08
26611.7,4.05783e+08
26611.7,4.06076e+08
26611.8,4.07268e+08
26612.2,4.0603e+08
26612.3,4.07509e+08
26612.3,4.06254e+08
26612.3,4.07447e+08
26612.5,4.06322e+08
26612.7,4.06089e+08
26613,4.07504e+08
26613,4.07511e+08
26613,4.07311e+08
26613.1,4.07492e+08
26613.2,4.07046e+08
26613.2,4.07506e+08
26613.3,4.07511e+08
26613.3,4.07502e+08
26613.4,4.06474e+08
26613.5,4.07215e+08
26613.7,4.07511e+08
26613.9,4.07511e+08
26613.9,4.07508e+08
26614,4.07502e+08
26614.2,4.07344e+08
26614.2,4.07496e+08
26614.3,4.07503e+08
26614.4,4.0629e+08
26614.4,4.0612e+08
26614.4,4.0751e+08
26614.5,4.07416e+08
26614.5,4.06206e+08
26614.6,4.06735e+08
26614.6,4.0751e+08
26614.7,4.07504e+08
26614.7,4.07472e+08
26614.9,4.07445e+08
26614.9,4.06773e+08
26614.9,4.06978e+08
26615,4.06326e+08
26615,4.07491e+08
26615.1,4.06877e+08
26615.1,4.07103e+08
26615.1,4.06618e+08
26615.4,4.06171e+08
26615.4,4.07286e+08
26615.6,4.07504e+08
26615.6,4.07461e+08
26615.7,4.07132e+08
26615.8,4.07511e+08
26615.8,4.07502e+08
26615.8,4.06932e+08
26615.9,4.07502e+08
26615.9,4.07073e+08
26616,4.06555e+08
26616,4.07511e+08
26616,4.0741e+08
26616.1,4.07487e+08
26616.1,4.07441e+08
26616.2,4.07476e+08
26616.2,4.06393e+08
26616.2,4.07485e+08
26616.3,4.06562e+08
26616.3,4.075e+08
26616.3,4.07503e+08
26616.4,4.0749e+08
26616.5,4.0665e+08
26616.5,4.07009e+08
26616.6,4.07501e+08
26616.6,4.05983e+08
26616.7,4.07503e+08
26616.7,4.07491e+08
26616.7,4.07488e+08
26616.8,4.07321e+08
26616.8,4.07511e+08
26616.9,4.07486e+08
26616.9,4.06262e+08
26617,4.07503e+08
26617,4.07489e+08
26617,4.07434e+08
26617.1,4.06711e+08
26617.1,4.07504e+08
26617.2,4.07487e+08
26617.2,4.07495e+08
26617.3,4.0751e+08
26617.3,4.05964e+08
26617.4,4.069e+08
26617.5,4.06925e+08
26617.6,4.06484e+08
26617.7,4.07503e+08
26617.8,4.0749e+08
26617.8,4.07487e+08
26617.9,4.05996e+08
26618.1,4.07487e+08
26618.3,4.06182e+08
26618.4,4.07511e+08
26618.5,4.06178e+08
26618.5,4.05988e+08
26619,4.0637e+08
26619,4.07511e+08
26619,4.07511e+08
26619.1,4.05571e+08
26619.2,4.07503e+08
26619.3,4.07511e+08
26619.4,4.06178e+08
26620.1,4.07504e+08
26620.2,4.07511e+08
26620.3,4.07503e+08
26620.3,4.05471e+08
26620.3,4.07384e+08
26620.4,4.07502e+08
26620.4,4.07511e+08
26620.4,4.0714e+08
26620.5,4.07338e+08
26620.6,4.05764e+08
26620.6,4.06126e+08
26620.7,4.07501e+08
26620.8,4.06213e+08
26620.8,4.07488e+08
26620.9,4.07511e+08
26620.9,4.07486e+08
26621,4.0748e+08
26621.1,4.07499e+08
26621.2,4.05984e+08
26621.2,4.07158e+08
26621.3,4.07503e+08
26621.3,4.07085e+08
26621.4,4.07507e+08
26621.5,4.07511e+08
26621.6,4.07502e+08
26621.6,4.0601e+08
26621.7,4.07511e+08
26621.7,4.07503e+08
26621.8,4.05962e+08
26621.8,4.07503e+08
26621.8,4.07503e+08
26621.9,4.07499e+08
26622,4.07501e+08
26622.1,4.07501e+08
26622.1,4.07505e+08
26622.2,4.07125e+08
26622.2,4.07505e+08
26622.3,4.06719e+08
26622.3,4.075e+08
26622.3,4.07512e+08
26622.4,4.07501e+08
26622.5,4.06505e+08
26622.6,4.07485e+08
26622.6,4.07503e+08
26622.6,4.06105e+08
26622.7,4.07511e+08
26622.8,4.07479e+08
26622.8,4.06939e+08
26622.9,4.0746e+08
26623.4,4.07511e+08
26623.5,4.07505e+08
26623.5,4.06703e+08
26623.5,4.0718e+08
26623.6,4.06498e+08
26623.7,4.06193e+08
26623.8,4.06072e+08
26623.9,4.06515e+08
26624,4.07501e+08
26624,4.06112e+08
26624.1,4.0751e+08
26624.2,4.06644e+08
26624.3,4.06129e+08
26624.4,4.07489e+08
26624.4,4.07462e+08
26624.5,4.07511e+08
26624.6,4.07061e+08
26624.6,4.07489e+08
26624.7,4.06009e+08
26624.7,4.07487e+08
26624.7,4.06965e+08
26624.8,4.07511e+08
26624.8,4.06881e+08
26625,4.0707e+08
26625,4.07473e+08
26625.1,4.0715e+08
26625.2,4.06451e+08
26625.2,4.07511e+08
26625.3,4.0671e+08
26625.4,4.07465e+08
26625.4,4.07484e+08
26625.5,4.07496e+08
26625.5,4.07424e+08
26625.6,4.07469e+08
26625.8,4.07485e+08
26625.8,4.07503e+08
26625.9,4.07371e+08
26626,4.07511e+08
26626.1,4.07499e+08
26626.1,4.07351e+08
26626.1,4.07494e+08
26626.1,4.07501e+08
26626.2,4.07507e+08
26626.2,4.07463e+08
26626.3,4.0751e+08
26626.3,4.07361e+08
26626.4,4.07226e+08
26626.5,4.06242e+08
26626.5,4.07389e+08
26626.7,4.06501e+08
26626.8,4.06552e+08
26626.9,4.07511e+08
26626.9,4.07511e+08
26626.9,4.05909e+08
26626.9,4.06406e+08
26627,4.0751e+08
26627,4.07397e+08
26627.1,4.07403e+08
26627.2,4.07501e+08
26627.4,4.06151e+08
26627.5,4.06186e+08
26627.5,4.06103e+08
26627.5,4.07181e+08
26627.5,4.05861e+08
26627.6,4.06814e+08
26627.6,4.07407e+08
26627.8,4.07404e+08
26627.9,4.07487e+08
26627.9,4.06164e+08
26628,4.06279e+08
26628,4.05896e+08
26628.1,4.07511e+08
26628.1,4.0751e+08
26628.2,4.07171e+08
26628.3,4.07503e+08
26628.4,4.07479e+08
26629,4.07501e+08
26629.1,4.07511e+08
26629.2,4.07474e+08
26629.2,4.07511e+08
26629.3,4.07511e+08
26629.3,4.05996e+08
26629.3,4.07503e+08
26629.4,4.07502e+08
26629.4,4.07511e+08
26629.4,4.07396e+08
26629.6,4.07502e+08
26629.6,4.06569e+08
26629.7,4.07485e+08
26629.8,4.07427e+08
26629.9,4.07154e+08
26630,4.06492e+08
26630,4.07504e+08
26630.2,4.07064e+08
26630.2,4.07511e+08
26630.3,4.07496e+08
26630.3,4.0743e+08
26630.3,4.07443e+08
26630.4,4.06469e+08
26630.5,4.06143e+08
26630.5,4.06063e+08
26630.5,4.07475e+08
26630.6,4.06856e+08
26630.7,4.06585e+08
26630.8,4.06896e+08
26630.8,4.07509e+08
26630.8,4.07501e+08
26630.9,4.05893e+08
26630.9,4.07127e+08
26631.1,4.06214e+08
26631.2,4.07511e+08
26631.2,4.06178e+08
26631.2,4.07413e+08
26631.3,4.07498e+08
26631.3,4.06395e+08
26631.7,4.06183e+08
26631.8,4.07509e+08
26631.9,4.06085e+08
26631.9,4.07511e+08
26632,4.07501e+08
26632,4.06549e+08
26632,4.07506e+08
26632,4.06793e+08
26632.1,4.07241e+08
26632.1,4.06461e+08
26632.1,4.0722e+08
26632.2,4.07496e+08
26632.2,4.075e+08
26632.2,4.07501e+08
26632.3,4.07501e+08
26632.3,4.07365e+08
26632.3,4.06939e+08
26632.3,4.06848e+08
26632.5,4.06157e+08
26632.8,4.06278e+08
26632.8,4.06195e+08
26632.8,4.07509e+08
26632.9,4.07418e+08
26632.9,4.07116e+08
26633,4.07097e+08
26633,4.06625e+08
26633,4.07497e+08
26633,4.07486e+08
26633.1,4.07385e+08
26633.1,4.07499e+08
26633.2,4.07482e+08
26633.2,4.0683e+08
26633.3,4.07503e+08
26633.3,4.07324e+08
26633.4,4.07501e+08
26633.4,4.0751e+08
26633.4,4.07048e+08
26633.4,4.07499e+08
26633.6,4.06615e+08
26633.6,4.07061e+08
26633.7,4.06774e+08
26633.7,4.06451e+08
26633.7,4.07504e+08
26633.8,4.06861e+08
26633.9,4.07499e+08
26634,4.06687e+08
26634.2,4.058e+08
26634.5,4.06983e+08
26634.6,4.06149e+08
26634.7,4.07505e+08
26634.9,4.07511e+08
26634.9,4.07511e+08
26635,4.07333e+08
26635,4.06639e+08
26635,4.071e+08
26635,4.07503e+08
26635.1,4.07509e+08
26635.2,4.07503e+08
26635.2,4.07511e+08
26635.3,4.07486e+08
26635.3,4.07495e+08
26635.3,4.05977e+08
26635.4,4.07489e+08
26635.4,4.05573e+08
26635.5,4.07511e+08
26635.5,4.07498e+08
26635.7,4.05975e+08
26635.8,4.05996e+08
26635.9,4.07453e+08
26636,4.0624e+08
26636,4.07501e+08
26636.2,4.06389e+08
26636.2,4.07509e+08
26636.3,4.07503e+08
26636.3,4.07504e+08
26636.3,4.06497e+08
26636.4,4.06158e+08
26636.5,4.06982e+08
26636.5,4.06046e+08
26636.6,4.06011e+08
26636.9,4.06198e+08
26637,4.07496e+08
26637,4.07505e+08
26637.3,4.06034e+08
26637.3,4.07503e+08
26637.7,4.06005e+08
26637.8,4.07504e+08
26637.9,4.07511e+08
26637.9,4.07511e+08
26637.9,4.07511e+08
26637.9,4.07511e+08
26638,4.06878e+08
26638.1,4.06306e+08
26638.2,4.06033e+08
26638.3,4.06119e+08
26638.3,4.075e+08
26638.3,4.07467e+08
26638.4,4.07512e+08
26638.4,4.07504e+08
26638.4,4.07481e+08
26638.5,4.07501e+08
26638.5,4.06876e+08
26638.6,4.07501e+08
26638.6,4.06725e+08
26638.8,4.07492e+08
26638.9,4.07507e+08
26638.9,4.07502e+08
26639,4.07501e+08
26639.1,4.07485e+08
26639.1,4.07351e+08
26639.3,4.07487e+08
26639.3,4.06329e+08
26639.4,4.07511e+08
26639.4,4.07504e+08
26639.5,4.06941e+08
26639.5,4.05863e+08
26639.6,4.07502e+08
26639.7,4.07503e+08
26639.8,4.05976e+08
26639.9,4.07509e+08
26639.9,4.07479e+08
26639.9,4.0654e+08
26640,4.07485e+08
26640,4.07134e+08
26640.2,4.07499e+08
26640.3,4.06199e+08
26640.3,4.06678e+08
26640.3,4.0751e+08
26640.4,4.07465e+08
26640.5,4.07156e+08
26640.6,4.07493e+08
26640.6,4.07511e+08
26640.7,4.07426e+08
26640.7,4.07469e+08
26640.9,4.07492e+08
26641,4.07499e+08
26641,4.07511e+08
26641.1,4.07471e+08
26641.2,4.07461e+08
26641.2,4.06447e+08
26641.3,4.06378e+08
26641.3,4.07399e+08
26641.4,4.07232e+08
26641.4,4.06333e+08
26641.5,4.06159e+08
26641.6,4.07503e+08
26641.9,4.07463e+08
26642,4.07511e+08
26642,4.07511e+08
26642.1,4.07388e+08
26642.1,4.07504e+08
26642.3,4.07511e+08
26642.3,4.0668e+08
26642.3,4.07511e+08
26642.4,4.07501e+08
26642.4,4.07015e+08
26642.5,4.07029e+08
26642.6,4.07501e+08
26642.8,4.07509e+08
26642.8,4.07478e+08
26642.9,4.07502e+08
26643,4.06081e+08
26643.1,4.07511e+08
26643.2,4.05827e+08
26643.3,4.07162e+08
26643.7,4.07509e+08
26643.7,4.07511e+08
26643.7,4.07079e+08
26643.8,4.07511e+08
26643.8,4.07511e+08
26643.8,4.06684e+08
26643.9,4.06848e+08
26643.9,4.07466e+08
26643.9,4.06691e+08
26643.9,4.06182e+08
26644,4.07503e+08
26644.1,4.07505e+08
26644.1,4.05991e+08
26644.1,4.06537e+08
26644.2,4.07498e+08
